37_A,6,1,7,3,5,4,8,2,3494482,3630611,3789083,4082654,4216949,4515765,4651271,4679598
a-to-the-power-b,8,2,1,5,3,4,6,7,3426686,3825648,3978325,3986545,4154634,4473709,4608815,5280703
three-sum-monk,5,2,1,7,3,4,6,8,7274811,7829652,8111759,8502911,8596183,9085429,9244381,9327024
game-of-perfectness,6,1,4,7,5,2,3,8,3569332,3963822,4242835,4278786,4350592,4411788,4593427,4760881
28_A,3,8,6,5,7,1,2,4,2919023,3452938,3573347,3942575,3950210,3964462,3978413,4031718
palin-pairs-3,1,7,6,8,4,2,3,5,5235450,5910409,6274334,6349279,6541916,6641604,6647424,7064326
19_A,8,6,4,3,7,5,2,1,4466657,4616838,4675176,4693635,4706689,4755436,4806727,5351144
shil-and-greedy-approach,6,3,1,7,8,4,5,2,4542290,4625034,4829624,5294282,5572660,5649571,5727091,6326541
coloring-problem,8,2,3,1,6,4,7,5,4775635,5365753,5402352,5468008,5812650,5919188,6000291,6894202
interval-count-12,5,1,4,8,3,6,7,2,4405606,4499086,4624927,4671406,4763680,4769192,4845161,5500392
bob-and-lines,7,5,6,3,8,4,1,2,5997681,6337125,6524350,6806580,6956239,7160662,7394914,7794647
276_E,7,6,1,4,8,3,5,2,7124060,7950138,8440938,8489262,8851025,9181937,9603690,10210742
enigma,1,4,5,6,8,2,3,7,5349752,5579370,5711112,5883220,6012936,6146114,6243546,6866571
counter-strike-vnevada,1,3,4,2,5,8,7,6,15079539,16663628,16690046,16823478,16863508,17090884,17304812,18032934
problem-5-7,6,8,7,5,3,2,4,1,11459443,11483599,11757692,13932378,14372104,14551412,14723393,16173910
213_B,2,8,7,4,6,5,1,3,3480470,3585090,3667245,3879665,3896307,4224403,4297337,4308647
collision,6,4,1,3,2,8,7,5,3757652,4077984,4269318,4291787,4522384,4788141,4844844,4872629
brio-and-his-house-10,3,7,8,1,4,6,5,2,3782589,3914365,4252403,4311987,4360649,4607367,4703967,5054848
appu-and-sugarcane-farm,6,1,8,5,4,7,3,2,3570317,3930570,3937182,4018938,4225282,4427789,4455898,4827275
counter-strike-12,3,7,4,2,1,6,5,8,9158034,11341949,11619907,11825105,12059986,12298448,12335697,12440480
productive-productivity,5,3,6,4,1,7,8,2,3463965,3678087,4215704,4321971,4397547,4424450,4498904,5516462
roy-and-wooden-log-3,3,1,7,6,4,5,8,2,3265530,3618311,3710298,3855221,4176142,4269219,4339485,4433740
lets-score-bowling,7,2,1,8,6,4,5,3,3375210,3846599,3853869,3918577,4223658,4455182,4925388,5367535
problem-of-bilocation,5,6,3,1,7,4,8,2,20249339,24375216,24996168,25030198,25053086,25822983,26023937,26207032
dipu-and-interesting-numbers-2,6,3,7,4,5,8,2,1,3922772,4392275,4400305,4469495,4600344,4627655,4917444,4942225
second-sons-join-unsullied-2,1,3,8,7,6,5,4,2,4380610,4413065,4731332,4763058,4852668,5098291,5597434,6333023
the-cakes-walk-3,3,1,6,4,8,7,2,5,24871179,26177977,26582180,26970531,32416996,33000011,33219214,33992631
akash-and-gcd-1-15,1,2,6,7,3,5,4,8,45694634,49006571,49488313,51865639,52553206,53409106,53442388,54874930
652_A,6,7,1,5,8,2,3,4,3477597,3540109,3592030,3873495,4136148,4377916,4773935,5189851
506_E,7,5,4,3,2,1,8,6,11623343,12537116,12634437,14369192,14521281,14635787,14901996,15375239
42_D,6,7,1,2,8,3,5,4,3375109,3433759,3951889,4267074,4402434,4808552,4826134,5183949
665_B,7,6,3,1,5,4,2,8,4214935,4280130,4349558,4890944,4898008,5028566,5050536,5619677
xenny-and-travel-icpc-8,7,2,3,6,5,4,8,1,4395189,4687913,4787697,4790777,4797062,5073350,5453304,6427458
third,2,5,1,6,4,3,7,8,4343404,4785454,4855182,5589608,5675514,5793666,6437948,6558320
lucky-number,1,6,3,5,4,7,2,8,10498314,10612785,11294315,11688556,12845321,13480214,13625178,14035975
597_A,6,4,5,2,8,3,7,1,4042255,4264174,4291971,4390250,4455099,4626399,4699231,5420454
one-way-or-another-juneclash-3,8,5,7,1,3,2,6,4,15250132,15293145,15822979,18835691,19030612,20186440,20853106,26646381
380_A,6,1,8,3,2,7,4,5,3677378,3696448,3938610,4217998,4310663,4350637,4632143,4891523
ram-in-the-hostel-mess-6,6,2,5,4,1,7,3,8,3443209,3465887,4149803,4151207,4201700,4406717,4412157,5078049
covering-chessboard,3,2,7,6,8,5,4,1,4034742,4312735,4688838,4724629,4929304,4982046,5338900,7122161
monk-and-his-friend,4,8,6,2,7,3,1,5,3390105,4023161,4235198,4340582,4612611,4947960,4949524,5082876
abc-string-61,7,2,1,6,8,5,4,3,151288404,151459836,159367344,160098861,160120683,160135721,161717007,163992328
165_D,7,4,3,1,2,5,8,6,7650183,7734672,7843938,8581662,8951616,9378992,9508265,9821186
in-love-with-primes,6,1,8,7,2,3,4,5,3434216,3683234,3809375,3844768,3923925,3979062,4748356,4993762
milly-and-chocolates-iii-2,1,6,2,3,4,5,7,8,1868723057,1878332200,1889582757,1891520277,1891591456,1953540617,1976638389,1994467319
revenge-and-apples,1,2,5,8,3,4,6,7,12824899,13755167,14553399,15001734,16955228,17685390,17772045,18124784
travel-sky-bag-lock,6,2,8,1,7,5,3,4,5093276,6000839,6147407,6167197,6303967,6835025,6926668,7007903
a-game-for-soft-drinks,6,5,1,2,4,3,7,8,3544021,3656998,3657309,4026584,4287951,4303518,4639962,5362866
chandu-and-probability,6,4,1,5,3,7,8,2,3822905,4328205,4715804,4797428,4838654,4949391,5196369,5863730
666_E,8,2,4,1,7,6,3,5,204853913,206800650,207626846,211669256,213257467,216171706,216587329,223370600
barcode,3,8,2,4,1,6,7,5,3301556,4014432,4024265,4039717,4251721,4522852,4545518,4694455
627_A,1,3,6,8,7,5,4,2,3323030,3465835,3522050,3786005,3857480,3881704,4151266,4636262
11_B,1,7,6,5,3,4,2,8,3249204,3614603,3843505,3950766,4175742,4288832,4308340,4724470
the-rise-of-the-weird-things-1,1,5,4,6,2,7,8,3,3789846,3845786,3860651,3862238,4185163,4281319,4423695,4460191
students-score-1,7,3,1,5,4,2,8,6,3442823,3455191,3536836,3816735,3892604,3913426,4030633,4052843
